date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:03:45	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Wed,%2016%20Jul%202025%2019:03:45%20GMT	http://cargocollective.com/yujiex	D:/WinHTTrack/mywebsite/mywebsite/cargocollective.com/yujiex.0.delayed	(from )
15:03:46	30689/30689	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20Jul%202025%2019:03:45%20GMT	https://cargocollective.com/yujiex	D:/WinHTTrack/mywebsite/mywebsite/cargocollective.com/yujiex.html	(from )
15:03:47	199/199	---M-Z	200	added ('OK')	text/plain	etag:%221cc-62df80b429537-gzip%22	https://cargocollective.com/robots.txt		(from )
15:03:47	19424/19424	---M-Z	200	added ('OK')	text/xml	date:Wed,%2016%20Jul%202025%2019:03:47%20GMT	https://cargocollective.com/rss/yujiex	D:/WinHTTrack/mywebsite/mywebsite/cargocollective.com/rss/yujiex	(from https://cargocollective.com/yujiex)
15:03:48	318137/318137	---MCZ	200	added ('OK')	application/javascript	etag:%224dab9-60f1596eb5940-gzip%22	https://cargocollective.com/_jsapps/_libs/cargo.apicore.package.js?26.11.18.1&	D:/WinHTTrack/mywebsite/mywebsite/cargocollective.com/_jsapps/_libs/cargo.apicore.package3339.js	(from https://cargocollective.com/yujiex)
15:03:49	274521/274521	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2016%20Jan%202024%2020:01:01%20GMT	https://cargocollective.com/apipackage?26.11.18.1&	D:/WinHTTrack/mywebsite/mywebsite/cargocollective.com/apipackage3339	(from https://cargocollective.com/yujiex)
15:03:49	12134/12134	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2008%20Jun%202016%2022:24:38%20GMT	https://cargocollective.com/javascript/yujiex?26.11.18.1&1465424678	D:/WinHTTrack/mywebsite/mywebsite/cargocollective.com/javascript/yujiex39f9	(from https://cargocollective.com/yujiex)
15:03:50	33169/33169	---M-Z	200	added ('OK')	text/css	date:Sat,%2005%20Jul%202025%2019:02:37%20GMT	https://cargocollective.com/stylesheet/yujiex?26.11.18.1&1751742157	D:/WinHTTrack/mywebsite/mywebsite/cargocollective.com/stylesheet/yujiex9a79.css	(from https://cargocollective.com/yujiex)
15:03:50	17848/17848	---M-Z	200	added ('OK')	text/css	etag:%2245b8-60f1596eb5940-gzip%22	https://cargocollective.com/_jsapps/api/_css/global.css?26.11.18.1&	D:/WinHTTrack/mywebsite/mywebsite/cargocollective.com/_jsapps/api/_css/global3339.css	(from https://cargocollective.com/yujiex)
15:03:51	932/932	---M--	200	added ('OK')	application/x-javascript	etag:%222125ffffbb1cbb88f6f0f15b3a0c4243%22	https://assets.cdn.cargocollective.com/447640/656420680426901975509555070598385664/jquery.resizeMedia.js?eac9d7c06f	D:/WinHTTrack/mywebsite/mywebsite/assets.cdn.cargocollective.com/447640/656420680426901975509555070598385664/jquery.resizeMediaf875.js	(from https://cargocollective.com/yujiex)
15:03:52	12140/12140	---M-Z	200	added ('OK')	application/javascript	etag:%222f6c-60f1596eb5940-gzip%22	https://cargocollective.com/_jsapps/_libs/cargo_plugins/elementResizer.js	D:/WinHTTrack/mywebsite/mywebsite/cargocollective.com/_jsapps/_libs/cargo_plugins/elementResizer.js	(from https://cargocollective.com/yujiex)
15:03:52	26445/26445	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20Jul%202025%2019:03:52%20GMT	https://cargocollective.com/yujiex/Projects	D:/WinHTTrack/mywebsite/mywebsite/cargocollective.com/yujiex/Projects.html	(from https://cargocollective.com/yujiex)
15:03:53	55384/55384	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20Jul%202025%2019:03:52%20GMT	https://cargocollective.com/yujiex/Commissions	D:/WinHTTrack/mywebsite/mywebsite/cargocollective.com/yujiex/Commissions.html	(from https://cargocollective.com/yujiex)
15:03:53	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2016%20Jul%202025%2019:03:53%20GMT	http://cargocollective.com/	D:/WinHTTrack/mywebsite/mywebsite/cargocollective.com/index.html	(from https://cargocollective.com/yujiex)
15:03:53	35172/35172	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20Jul%202025%2019:03:53%20GMT	https://cargocollective.com/yujiex/About	D:/WinHTTrack/mywebsite/mywebsite/cargocollective.com/yujiex/About.html	(from https://cargocollective.com/yujiex)
15:03:54	35289/35289	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20Jul%202025%2019:03:53%20GMT	https://cargocollective.com/yujiex/Projects/About	D:/WinHTTrack/mywebsite/mywebsite/cargocollective.com/yujiex/Projects/About.html	(from https://cargocollective.com/yujiex)
15:03:54	40132/40132	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20Jul%202025%2019:03:54%20GMT	https://cargocollective.com/yujiex/Flowing-Soil-And-Other-Forms-short-film-2024	D:/WinHTTrack/mywebsite/mywebsite/cargocollective.com/yujiex/Flowing-Soil-And-Other-Forms-short-film-2024.html	(from https://cargocollective.com/yujiex)
15:03:56	50057/50057	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20Jul%202025%2019:03:55%20GMT	https://cargocollective.com/yujiex/Elephant-In-A-Haystack-short-film-2022	D:/WinHTTrack/mywebsite/mywebsite/cargocollective.com/yujiex/Elephant-In-A-Haystack-short-film-2022.html	(from https://cargocollective.com/yujiex)
15:03:56	1079849/1079849	---M--	200	added ('OK')	image/gif	etag:%22b80d7a5bf507f2acbbfca3da39f5208d%22	https://payload.cargocollective.com/1/24/778953/14400861/prt_560x320_1742273985.gif	D:/WinHTTrack/mywebsite/mywebsite/payload.cargocollective.com/1/24/778953/14400861/prt_560x320_1742273985.gif	(from https://cargocollective.com/yujiex)
15:03:57	2811366/2811366	---M--	200	added ('OK')	image/gif	etag:%22c6164acc8f2e438ea8ecd96d0fe22254%22	https://payload.cargocollective.com/1/24/778953/14547333/prt_560x320_1742273633.gif	D:/WinHTTrack/mywebsite/mywebsite/payload.cargocollective.com/1/24/778953/14547333/prt_560x320_1742273633.gif	(from https://cargocollective.com/yujiex)
15:03:57	48239/48239	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20Jul%202025%2019:03:56%20GMT	https://cargocollective.com/yujiex/White-Horse-short-film-2019	D:/WinHTTrack/mywebsite/mywebsite/cargocollective.com/yujiex/White-Horse-short-film-2019.html	(from https://cargocollective.com/yujiex)
15:03:58	2015470/2015470	---M--	200	added ('OK')	image/gif	etag:%2234f8eb352837a7131248335b0205d9bd%22	https://payload.cargocollective.com/1/24/778953/13757301/prt_560x320_1742274132.gif	D:/WinHTTrack/mywebsite/mywebsite/payload.cargocollective.com/1/24/778953/13757301/prt_560x320_1742274132.gif	(from https://cargocollective.com/yujiex)
15:03:58	44226/44226	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20Jul%202025%2019:03:57%20GMT	https://cargocollective.com/yujiex/Walking-trail-of-the-worm-o0O-workshop	D:/WinHTTrack/mywebsite/mywebsite/cargocollective.com/yujiex/Walking-trail-of-the-worm-o0O-workshop.html	(from https://cargocollective.com/yujiex)
15:03:59	2075078/2075078	---M--	200	added ('OK')	image/gif	etag:%223bc9b7ee5f58f2f06bab661ef3fdbff9%22	https://payload.cargocollective.com/1/24/778953/14579359/prt_560x320_1742274408.gif	D:/WinHTTrack/mywebsite/mywebsite/payload.cargocollective.com/1/24/778953/14579359/prt_560x320_1742274408.gif	(from https://cargocollective.com/yujiex)
15:03:59	32048/32048	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20Jul%202025%2019:03:59%20GMT	https://cargocollective.com/yujiex/Painting-2020-2022	D:/WinHTTrack/mywebsite/mywebsite/cargocollective.com/yujiex/Painting-2020-2022.html	(from https://cargocollective.com/yujiex)
15:04:00	99047/99047	---M--	200	added ('OK')	image/jpeg	etag:%22e8315463bfc01b08a2530c1ea0be5451%22	https://payload.cargocollective.com/1/24/778953/14409482/prt_560x320_1742274706.jpg	D:/WinHTTrack/mywebsite/mywebsite/payload.cargocollective.com/1/24/778953/14409482/prt_560x320_1742274706.jpg	(from https://cargocollective.com/yujiex)
